id,Ground,location,Also knows as,Established,Named After,Capacity,End Names,Flood Lights,Home Teams,Other Sports,Pitch,Curator,Current Local Time,Playing area
ODI # 734,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792, Auckland,Eden Park No. 1,1900,,"41,000","Broadcasting End, Terraces End",Yes,Auckland,Rugby,grass,,"23:46, Sat Nov 23, 2024",
ODI # 733,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293,"North Adelaide,  Adelaide",,1873,,"50,000","City End, Cathedral End",Yes,South Australia,"Australian Rules Football (since 1877), Rugby League (1997-1998) as well as archery, athletics, baseball, cycling, american football, highland games, hockey, lacrosse, lawn tennis, rugby union, quoits and soccer",Grass,Les Burdett,"21:15, Sat Nov 23, 2024","190.2 m long, 126.2 m wide"
ODI # 732,https://www.espncricinfo.com/cricket-grounds/seddon-park-hamilton-58831, Hamilton,Trust Bank Park; WestpacTrust Park;Westpac Park,1950,,"10,000","Members End, City End",Yes,Northern Districts,,grass,,"23:46, Sat Nov 23, 2024",
ODI # 731,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544,"Moore Park,  Sydney","SCG; Sydney Cricket Ground No. 1; Garrison Ground (1848-1877), Association Ground;",1848,,"44,002","Paddington End, Randwick End",Yes,,Australian Rules Football (Sydney Swans),Grass,Tom Parker,"21:46, Sat Nov 23, 2024","156 m long, 154 m wide"
ODI # 730,https://www.espncricinfo.com/cricket-grounds/ami-stadium-christchurch-58812, Christchurch,"Lancaster Park, Jade Stadium (1998-2007)",,,"36,500","Hadlee Stand End, Port Hills End",Yes,Canterbury,,,,"23:46, Sat Nov 23, 2024",
ODI # 729,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544,"Moore Park,  Sydney","SCG; Sydney Cricket Ground No. 1; Garrison Ground (1848-1877), Association Ground;",1848,,"44,002","Paddington End, Randwick End",Yes,,Australian Rules Football (Sydney Swans),Grass,Tom Parker,"21:46, Sat Nov 23, 2024","156 m long, 154 m wide"
ODI # 728,https://www.espncricinfo.com/cricket-grounds/mclean-park-napier-58857, Napier,,1952,,"10,500","Centennial Stand End, Embankment End",Yes,Central Districts,,Grass,,"23:46, Sat Nov 23, 2024",
ODI # 727,https://www.espncricinfo.com/cricket-grounds/basin-reserve-wellington-58895, Wellington,,,,"11,600","Vance Stand End, Scoreboard End",,Wellington,,,,"23:46, Sat Nov 23, 2024",
ODI # 726,https://www.espncricinfo.com/cricket-grounds/adelaide-oval-56293,"North Adelaide,  Adelaide",,1873,,"50,000","City End, Cathedral End",Yes,South Australia,"Australian Rules Football (since 1877), Rugby League (1997-1998) as well as archery, athletics, baseball, cycling, american football, highland games, hockey, lacrosse, lawn tennis, rugby union, quoits and soccer",Grass,Les Burdett,"21:15, Sat Nov 23, 2024","190.2 m long, 126.2 m wide"
ODI # 725,https://www.espncricinfo.com/cricket-grounds/brisbane-cricket-ground-woolloongabba-brisbane-56336,"Woolloongabba,  Brisbane",,1895,,"37,000","Stanley Street End, Vulture Street End",Yes,Queensland,"Australian Rules Football (Brisbane Lions), Rugby Union, Athletics, Baseball, Cycling, Greyhound Racing, Pony Racing, Rugby League, Soccer",Grass,Kevin Mitchell jnr,"20:46, Sat Nov 23, 2024","170.6 m long, 149.9 m wide"
ODI # 724,https://www.espncricinfo.com/cricket-grounds/brisbane-cricket-ground-woolloongabba-brisbane-56336,"Woolloongabba,  Brisbane",,1895,,"37,000","Stanley Street End, Vulture Street End",Yes,Queensland,"Australian Rules Football (Brisbane Lions), Rugby Union, Athletics, Baseball, Cycling, Greyhound Racing, Pony Racing, Rugby League, Soccer",Grass,Kevin Mitchell jnr,"20:46, Sat Nov 23, 2024","170.6 m long, 149.9 m wide"
ODI # 723,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792, Auckland,Eden Park No. 1,1900,,"41,000","Broadcasting End, Terraces End",Yes,Auckland,Rugby,grass,,"23:46, Sat Nov 23, 2024",
ODI # 722,https://www.espncricinfo.com/cricket-grounds/great-barrier-reef-arena-mackay-56430, Mackay,"Ray Mitchell Oval
Harrup Park
",,,,,,Queensland,,Grass,,"20:46, Sat Nov 23, 2024",
ODI # 721,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441,"Jolimont,  Melbourne",MCG,1853,,"90,000","Members End, Great Southern Stand End",Since March 1985,"Australia, Victoria","Australian Rules Football, Soccer, Rugby Union, Rugby League, Lawn Bowls, Squash",Grass,David Sandurski,"21:46, Sat Nov 23, 2024","172.9 m long, 147.8 m wide"
ODI # 720,https://www.espncricinfo.com/cricket-grounds/bellerive-oval-hobart-56407,"Bellerive,  Hobart",Blundstone Arena,1914,,"15,000","Church Street End, River End","Yes, 2009",Tasmania,"Australian Rules (Clarence 'Roos [SFL], Tasmanian Devils [VFL])",Grass,Marcus Pamplin,"21:46, Sat Nov 23, 2024","175 m long, 135.5 m wide"
ODI # 719,https://www.espncricinfo.com/cricket-grounds/sydney-cricket-ground-56544,"Moore Park,  Sydney","SCG; Sydney Cricket Ground No. 1; Garrison Ground (1848-1877), Association Ground;",1848,,"44,002","Paddington End, Randwick End",Yes,,Australian Rules Football (Sydney Swans),Grass,Tom Parker,"21:46, Sat Nov 23, 2024","156 m long, 154 m wide"
ODI # 718,https://www.espncricinfo.com/cricket-grounds/seddon-park-hamilton-58831, Hamilton,Trust Bank Park; WestpacTrust Park;Westpac Park,1950,,"10,000","Members End, City End",Yes,Northern Districts,,grass,,"23:46, Sat Nov 23, 2024",
ODI # 717,https://www.espncricinfo.com/cricket-grounds/melbourne-cricket-ground-56441,"Jolimont,  Melbourne",MCG,1853,,"90,000","Members End, Great Southern Stand End",Since March 1985,"Australia, Victoria","Australian Rules Football, Soccer, Rugby Union, Rugby League, Lawn Bowls, Squash",Grass,David Sandurski,"21:46, Sat Nov 23, 2024","172.9 m long, 147.8 m wide"
ODI # 716,https://www.espncricinfo.com/cricket-grounds/pukekura-park-new-plymouth-58865, New Plymouth,,,,,"South Terrace End, North City End",,Central Districts,,,,"23:46, Sat Nov 23, 2024",
ODI # 715,https://www.espncricinfo.com/cricket-grounds/w-a-c-a-ground-perth-56490,"East Perth,  Perth",Western Australia Cricket Association Ground,1893,"Western Australian Cricket Association, owners of the ground","18,000","Members End, Prindiville Stand End","Yes, since 1986","Western Australia, Western Australia Women","Australian Rules Football, Rugby League, Rugby Union, Soccer, Baseball",Grass,Matt Page,"18:46, Sat Nov 23, 2024","149 m long, 139 m wide"
ODI # 714,https://www.espncricinfo.com/cricket-grounds/eden-park-auckland-58792, Auckland,Eden Park No. 1,1900,,"41,000","Broadcasting End, Terraces End",Yes,Auckland,Rugby,grass,,"23:46, Sat Nov 23, 2024",
ODI # 1083,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967, Lahore,Lahore Stadium,,,,"Pavilion End, College End",Yes,,,,,"15:45, Sat Nov 23, 2024",
ODI # 1082,https://www.espncricinfo.com/cricket-grounds/i-s-bindra-punjab-cricket-association-stadium-57991,"Mohali,  Mohali","Punjab C.A. Stadium, Mohali",1993,,,"Pavilion End, City End",Yes,Punjab,,Grass,Daljit Singh,"16:16, Sat Nov 23, 2024",
ODI # 1081,https://www.espncricinfo.com/cricket-grounds/eden-gardens-kolkata-57980, Kolkata,,1864,,"66,000","High Court End, Pavilion End",Yes,,,Grass,Probir Mukherjee,"16:15, Sat Nov 23, 2024",
ODI # 1080,https://www.espncricinfo.com/cricket-grounds/ma-chidambaram-stadium-chepauk-chennai-58008,"Chepauk,  Chennai",Chepauk; Madras Cricket Club Ground,,"The President of BCCI, and also the President of the TNCA","38,000","Anna Pavilion End, V Pattabhiraman Gate End",Since the 1996 World Cup,Tamil Nadu,,Grass,,"16:16, Sat Nov 23, 2024",
ODI # 1079,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956, Karachi,,,,,"Pavilion End, University End",Yes,"Pakistan, Karachi",,,,"15:45, Sat Nov 23, 2024",
ODI # 1078,https://www.espncricinfo.com/cricket-grounds/m-chinnaswamy-stadium-bengaluru-57897, Bengaluru,"Karnataka State Cricket Association Stadium, Chinnaswamy Stadium",1969,,"40,000","Pavilion End, BEML End",Yes,Karnataka,,,Narayan Raju,"16:16, Sat Nov 23, 2024",
ODI # 1077,https://www.espncricinfo.com/cricket-grounds/iqbal-stadium-faisalabad-58927, Faisalabad,Lyallpur Stadium; National Stadium; City Stadium,,,,"Pavilion End, Golf Course End",Yes - 2006,Faisalabad,,grass,,"15:45, Sat Nov 23, 2024",
ODI # 1076,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967, Lahore,Lahore Stadium,,,,"Pavilion End, College End",Yes,,,,,"15:45, Sat Nov 23, 2024",
ODI # 1074,https://www.espncricinfo.com/cricket-grounds/asgiriya-stadium-kandy-59329, Kandy,,,,10300,"Hunnasgiriya End, Hanthana End",No,Kandy Cricket Club,Hockey,Grass,,"16:16, Sat Nov 23, 2024",
ODI # 1075,https://www.espncricinfo.com/cricket-grounds/green-park-kanpur-58204,"Civil Lines,  Kanpur",Modi Stadium,1945,,"45,000","Mill Pavilion End, Hostel End",Yes,Uttar Pradesh,Football,Grass,Shivkumar,"16:16, Sat Nov 23, 2024",
ODI # 1073,https://www.espncricinfo.com/cricket-grounds/rawalpindi-cricket-stadium-59006, Rawalpindi,,19th January 1992,,15000,"Pavilion End, Shell End",Yes,"Pakistan, Rawalpindi",,Grass,,"15:46, Sat Nov 23, 2024",
ODI # 1072,https://www.espncricinfo.com/cricket-grounds/sawai-mansingh-stadium-jaipur-58162, Jaipur,,,,,"North End, South End",Yes,Rajasthan,,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 1071,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956, Karachi,,,,,"Pavilion End, University End",Yes,"Pakistan, Karachi",,,,"15:45, Sat Nov 23, 2024",
ODI # 1070,https://www.espncricinfo.com/cricket-grounds/arun-jaitley-stadium-delhi-58040, Delhi,"Feroz Shah Kotla, Willingdon Pavilion",1883,,"55,000","Stadium End, Pavilion End",,Delhi,,,,"16:16, Sat Nov 23, 2024",
ODI # 1069,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967, Lahore,Lahore Stadium,,,,"Pavilion End, College End",Yes,,,,,"15:45, Sat Nov 23, 2024",
ODI # 1068,https://www.espncricinfo.com/cricket-grounds/vidarbha-c-a-ground-nagpur-58344, Nagpur,,,,"40,000","Jaika End, Church End",No,Vidarbha,,,Kishore Pradhan,"16:15, Sat Nov 23, 2024",
ODI # 1067,https://www.espncricinfo.com/cricket-grounds/national-stadium-karachi-58956, Karachi,,,,,"Pavilion End, University End",Yes,"Pakistan, Karachi",,,,"15:45, Sat Nov 23, 2024",
ODI # 1066,https://www.espncricinfo.com/cricket-grounds/nehru-stadium-pune-58383, Pune,Club of Maharashtra,1969,,25000,"Tilak Road end, Pavilion end",No,Maharashtra,Wrestling,,Chandu Borde,"16:15, Sat Nov 23, 2024",
ODI # 1065,https://www.espncricinfo.com/cricket-grounds/wankhede-stadium-mumbai-58324, Mumbai,,1974,,"32,000","Garware Pavilion End, Tata End",Yes,Mumbai,,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 1064,https://www.espncricinfo.com/cricket-grounds/iqbal-stadium-faisalabad-58927, Faisalabad,Lyallpur Stadium; National Stadium; City Stadium,,,,"Pavilion End, Golf Course End",Yes - 2006,Faisalabad,,grass,,"15:45, Sat Nov 23, 2024",
ODI # 1063,https://www.espncricinfo.com/cricket-grounds/moin-ul-haq-stadium-patna-58373, Patna,Moinul Haque Stadium,1969-70,,,"Ganga End, By Pass Road End",,Bihar,,Turf,,"16:16, Sat Nov 23, 2024",
ODI # 1062,https://www.espncricinfo.com/cricket-grounds/gaddafi-stadium-lahore-58967, Lahore,Lahore Stadium,,,,"Pavilion End, College End",Yes,,,,,"15:45, Sat Nov 23, 2024",
ODI # 1061,https://www.espncricinfo.com/cricket-grounds/moin-ul-haq-stadium-patna-58373, Patna,Moinul Haque Stadium,1969-70,,,"Ganga End, By Pass Road End",,Bihar,,Turf,,"16:16, Sat Nov 23, 2024",
ODI # 1060,https://www.espncricinfo.com/cricket-grounds/rawalpindi-cricket-stadium-59006, Rawalpindi,,19th January 1992,,15000,"Pavilion End, Shell End",Yes,"Pakistan, Rawalpindi",,Grass,,"15:46, Sat Nov 23, 2024",
ODI # 1059,https://www.espncricinfo.com/cricket-grounds/jinnah-stadium-gujranwala-58930, Gujranwala,Municipal Stadium,,,,,,Gujranwala Cricket Association,,,,"15:46, Sat Nov 23, 2024",
ODI # 1058,https://www.espncricinfo.com/cricket-grounds/indira-priyadarshini-stadium-visakhapatnam-58542, Visakhapatnam,Municipal Corporation Vizag Stadium,,,,,,Andhra,,,,"16:16, Sat Nov 23, 2024",
ODI # 1057,https://www.espncricinfo.com/cricket-grounds/arbab-niaz-stadium-peshawar-58988, Peshawar,Shahi Bagh Stadium,,,,"Pavilion End, College End",,Peshawar Cricket Association,,,,"15:46, Sat Nov 23, 2024",
ODI # 1056,https://www.espncricinfo.com/cricket-grounds/captain-roop-singh-stadium-gwalior-58119, Gwalior,,,,,"Railway End, Pavilion End","Yes, since 1996","India, Madhya Pradesh",,Grass,Ajay Sahasrabuddhe,"16:16, Sat Nov 23, 2024",
ODI # 1055,https://www.espncricinfo.com/cricket-grounds/sinhalese-sports-club-ground-colombo-59308, Colombo,Maitland Place,,,"10,000","Tennis Courts End, South End",No,Sinhalese Sports Club,,Grass,,"16:16, Sat Nov 23, 2024",
ODI # 1054,https://www.espncricinfo.com/cricket-grounds/iqbal-stadium-faisalabad-58927, Faisalabad,Lyallpur Stadium; National Stadium; City Stadium,,,,"Pavilion End, Golf Course End",Yes - 2006,Faisalabad,,grass,,"15:45, Sat Nov 23, 2024",
ODI # 1053,https://www.espncricinfo.com/cricket-grounds/arbab-niaz-stadium-peshawar-58988, Peshawar,Shahi Bagh Stadium,,,,"Pavilion End, College End",,Peshawar Cricket Association,,,,"15:46, Sat Nov 23, 2024",
ODI # 1052,https://www.espncricinfo.com/cricket-grounds/barabati-stadium-cuttack-58027, Cuttack,,,,,"Mahanadi River End, Pavilion End",Yes,"India, Orissa",,Grass,,"16:15, Sat Nov 23, 2024",
ODI # 1051,https://www.espncricinfo.com/cricket-grounds/reliance-stadium-vadodara-58516, Vadodara,Indian Petrochemicals Corporation Ltd Sports Complex Ground,,,,,,Baroda,,,,"16:16, Sat Nov 23, 2024",
ODI # 1050,https://www.espncricinfo.com/cricket-grounds/lal-bahadur-shastri-stadium-hyderabad-58136, Hyderabad,Fateh Maidan,,"Lal Bahadur Shastri, Prime Minister of India (1964-1966)",,"Pavilion End, Hill Fort End",Yes,Hyderabad (India),,,,"16:16, Sat Nov 23, 2024",
ODI # 1049,https://www.espncricinfo.com/cricket-grounds/rawalpindi-cricket-stadium-59006, Rawalpindi,,19th January 1992,,15000,"Pavilion End, Shell End",Yes,"Pakistan, Rawalpindi",,Grass,,"15:46, Sat Nov 23, 2024",
ODI # 1048,https://www.espncricinfo.com/cricket-grounds/narendra-modi-stadium-motera-ahmedabad-57851,"Motera,  Ahmedabad","Gujarat Stadium, Sardar Patel Stadium",1982,,"132,000","Adani Pavilion End, Jio End",Yes,Gujarat,,,Bagira Thakur,"16:15, Sat Nov 23, 2024",
ODI # 1484,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 1483,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 1482,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1481,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1480,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1479,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1478,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 1477,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 1476,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1475,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1474,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1473,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1471,https://www.espncricinfo.com/cricket-grounds/county-ground-northampton-57207,"Wantage Road,  Northampton",,1885,,6500,"Wantage Road End, Lynn Wilson Centre End","Yes, Installed for 2010 Season",Northamptonshire,,Grass,,"10:46, Sat Nov 23, 2024",
ODI # 1472,https://www.espncricinfo.com/cricket-grounds/grange-cricket-club-raeburn-place-edinburgh-59269, Edinburgh,Raeburn Place; The Citylets Grange,,,5000,"City End, Park End",,Scotland,"Tennis, Squash and Hockey",Grass,,"10:46, Sat Nov 23, 2024",
ODI # 1469,https://www.espncricinfo.com/cricket-grounds/county-ground-southampton-57309,"Northlands Road,  Southampton",,1885,,7000,"City End, Northlands Road",No,Hampshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1470,https://www.espncricinfo.com/cricket-grounds/old-trafford-manchester-57160,"Stretford,  Manchester",Emirates Old Trafford,1857,,19000,"James Anderson End, Brian Statham End","Yes, Installed in 2011",Lancashire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1467,https://www.espncricinfo.com/cricket-grounds/edgbaston-birmingham-56788, Birmingham,,1882,,"24,803","Birmingham End (previously City End), Pavilion End","Yes, Installed in 2011","England, Warwickshire",,Grass,Gary Barwell,"10:45, Sat Nov 23, 2024",
ODI # 1468,https://www.espncricinfo.com/cricket-grounds/county-ground-chelmsford-56887,"New Writtle Street,  Chelmsford",The Ford County Ground,,,6500,"River End, Hayes Close End",Yes,Essex,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1466,https://www.espncricinfo.com/cricket-grounds/county-ground-derby-56953,"Nottingham Road,  Derby","Racecourse Ground, The Incora County Ground",1863,,9500,"Grandstand End, Scoreboard End",Yes,Derbyshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1464,https://www.espncricinfo.com/cricket-grounds/riverside-ground-chester-le-street-56901, Chester-le-Street,Emirates Durham International Cricket Ground,1995,,5000 (17000 for internationals),"Finchale End, Lumley End","Yes, Installed in 2015",Durham,,Grass,,"10:46, Sat Nov 23, 2024",
ODI # 1465,https://www.espncricinfo.com/cricket-grounds/grace-road-leicester-57100, Leicester,County Ground,1878,,6000,"Pavilion End, Bennett End",Temporary,Leicestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1463,https://www.espncricinfo.com/cricket-grounds/the-cooper-associates-county-ground-taunton-57351,"St James Street,  Taunton","Athletic Ground, 	County Ground",1882,,6500,"River End, Old Pavilion End",Yes,Somerset,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1462,https://www.espncricinfo.com/cricket-grounds/vra-ground-amstelveen-58686, Amstelveen,,,,,"City End, Mulder's End",,VRA Cricket,,Grass,,"11:46, Sat Nov 23, 2024",
ODI # 1461,https://www.espncricinfo.com/cricket-grounds/trent-bridge-nottingham-57219, Nottingham,Trent Bridge Ground,1841,River Trent,"15,350 (to be 17,000)","Stuart Broad End, Radcliffe Road End","Yes, installed in 2008",Nottinghamshire,Football (Nottm Forest and Notts County) 1860-1910,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1459,https://www.espncricinfo.com/cricket-grounds/grange-cricket-club-raeburn-place-edinburgh-59269, Edinburgh,Raeburn Place; The Citylets Grange,,,5000,"City End, Park End",,Scotland,"Tennis, Squash and Hockey",Grass,,"10:46, Sat Nov 23, 2024",
ODI # 1460,https://www.espncricinfo.com/cricket-grounds/county-ground-southampton-57309,"Northlands Road,  Southampton",,1885,,7000,"City End, Northlands Road",No,Hampshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1457,https://www.espncricinfo.com/cricket-grounds/county-ground-bristol-56831,"Bishopston,  Bristol",The Royal & Sun Alliance County Ground; Ashley Down Ground; Fry's Ground; Phoenix County Ground,1889,,"7000 (15,000 ODIs)","Pavilion End, Ashley Down Road End",Installed in 2016,Gloucestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1458,https://www.espncricinfo.com/cricket-grounds/headingley-leeds-57092, Leeds,Headingley Grounds,1890,,17000,"Kirkstall Lane End, Football Stand End","Yes, Installed in 2015",Yorkshire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1455,https://www.espncricinfo.com/cricket-grounds/kennington-oval-london-57127, London,The Oval; The AMP Oval; The Foster's Oval; The Brit Oval; The Kia Oval,1845,,23500,"Pavilion End, Vauxhall End","Yes, 2009","England, Surrey",,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1456,https://www.espncricinfo.com/cricket-grounds/county-ground-new-road-worcester-57424,"New Road,  Worcester",,1899,,4500,"New Road End, Diglis End",No,Worcestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1454,https://www.espncricinfo.com/cricket-grounds/castle-avenue-dublin-58604,"Clontarf,  Dublin",Clontarf Cricket Club,1958,,,"City End, Killester End",,Ireland,Rugby Union (Clontarf Rugby Club),Grass,,"10:46, Sat Nov 23, 2024",
ODI # 1452,https://www.espncricinfo.com/cricket-grounds/sophia-gardens-cardiff-56874, Cardiff,The SWALEC Stadium,,The wife of the Marquis of Bute,"5500 (15,000 after redevelopment)","River Taff End, Cathedral Road End",Yes - 2005,Glamorgan,,Grass,,"10:47, Sat Nov 23, 2024",
ODI # 1453,https://www.espncricinfo.com/cricket-grounds/riverside-ground-chester-le-street-56901, Chester-le-Street,Emirates Durham International Cricket Ground,1995,,5000 (17000 for internationals),"Finchale End, Lumley End","Yes, Installed in 2015",Durham,,Grass,,"10:46, Sat Nov 23, 2024",
ODI # 1450,https://www.espncricinfo.com/cricket-grounds/grace-road-leicester-57100, Leicester,County Ground,1878,,6000,"Pavilion End, Bennett End",Temporary,Leicestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1451,https://www.espncricinfo.com/cricket-grounds/county-ground-northampton-57207,"Wantage Road,  Northampton",,1885,,6500,"Wantage Road End, Lynn Wilson Centre End","Yes, Installed for 2010 Season",Northamptonshire,,Grass,,"10:46, Sat Nov 23, 2024",
ODI # 1449,https://www.espncricinfo.com/cricket-grounds/st-lawrence-ground-canterbury-56869, Canterbury,"Spitfire Ground, St Lawrence, Canterbury",1847,,15000,"Pavilion End, Nackington Road End","Yes, Installed in 2011",Kent,,Grass,,"10:47, Sat Nov 23, 2024",
ODI # 1448,https://www.espncricinfo.com/cricket-grounds/county-ground-chelmsford-56887,"New Writtle Street,  Chelmsford",The Ford County Ground,,,6500,"River End, Hayes Close End",Yes,Essex,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1446,https://www.espncricinfo.com/cricket-grounds/county-ground-new-road-worcester-57424,"New Road,  Worcester",,1899,,4500,"New Road End, Diglis End",No,Worcestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1447,https://www.espncricinfo.com/cricket-grounds/county-ground-bristol-56831,"Bishopston,  Bristol",The Royal & Sun Alliance County Ground; Ashley Down Ground; Fry's Ground; Phoenix County Ground,1889,,"7000 (15,000 ODIs)","Pavilion End, Ashley Down Road End",Installed in 2016,Gloucestershire,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1444,https://www.espncricinfo.com/cricket-grounds/county-ground-hove-56825,"Hove,  Brighton","The BrightonandHoveJobs.com County Ground, The PROBIZ County Ground",1872,,4000,"Cromwell Road End, Sea End",Yes,Sussex,,Grass,,"10:47, Sat Nov 23, 2024",
ODI # 1445,https://www.espncricinfo.com/cricket-grounds/the-cooper-associates-county-ground-taunton-57351,"St James Street,  Taunton","Athletic Ground, 	County Ground",1882,,6500,"River End, Old Pavilion End",Yes,Somerset,,Grass,,"10:45, Sat Nov 23, 2024",
ODI # 1443,https://www.espncricinfo.com/cricket-grounds/lord-s-london-57129,"St John's Wood Road,  London",Lord's Cricket Ground,1814,Thomas Lord,30000,"Pavilion End, Nursery End","Yes, 2009","Marylebone Cricket Club, Middlesex","Lacrosse, Hockey, Archery (2012 Olympics)",Grass,Mick Hunt,"10:45, Sat Nov 23, 2024",
ODI # 1993,https://www.espncricinfo.com/cricket-grounds/the-wanderers-stadium-johannesburg-59120, Johannesburg,Kent Park,,,"28,000","Corlett Drive End, Golf Course End",,,,,,"12:47, Sat Nov 23, 2024",
ODI # 1992,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089, Durban,Sahara Stadium; Kingsmead,,,25000,"Umgeni End, Old Fort End",,,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1991,https://www.espncricinfo.com/cricket-grounds/st-george-s-park-gqeberha-59159, Gqeberha,"Sahara Oval; Crusaders Ground, St George's Park",,,19000,"Duckpond End, Park Drive End",,Eastern Province,,Grass,,"12:47, Sat Nov 23, 2024",
ODI # 1990,https://www.espncricinfo.com/cricket-grounds/kingsmead-durban-59089, Durban,Sahara Stadium; Kingsmead,,,25000,"Umgeni End, Old Fort End",,,,Grass,,"12:47, Sat Nov 23, 2024",
